Date,Month,Day,Year,Patron,University,Program
5/13/13,5,13,2013,Faculty,University of Maryland at Baltimore County (UMBC),Construction Management Technology
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),History
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore (UMB),Biological Sciences
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Education
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),History
5/13/13,5,13,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Information Management
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Grad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Social Work
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/13/13,5,13,2013,Grad,Bowie State University,Other
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Grad,"University of Maryland, University College (UMUC)",Other
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at Eastern Shore (UMES),Business
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/12/13,5,12,2013,Student's Family,Other,Other
5/12/13,5,12,2013,Student's Family,Other,Other
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Education
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Computer & Information Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Other
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Biological Sciences
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore (UMB),Nursing
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Business
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Other
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Psychology
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Information Management
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore (UMB),Nursing
5/12/13,5,12,2013,Grad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Computer & Information Science
5/12/13,5,12,2013,Grad,Towson University,Computer & Information Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Psychology
5/12/13,5,12,2013,Undergrad,"University of Maryland, University College (UMUC)",Biotechnology
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),History
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Psychology
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/12/13,5,12,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore (UMB),Nursing
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore (UMB),Nursing
5/12/13,5,12,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/12/13,5,12,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
